x_values,y_values
"['G', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",F
"['G', 'C', 'F']",Dmin
"['C', 'F', 'Dmin']",G
"['F', 'Dmin', 'G']",Dmin7
"['Dmin', 'G', 'Dmin7']",G
"['G', 'Dmin7', 'G']",C
"['Dmin7', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",F
"['G', 'C', 'F']",Dmin
"['C', 'F', 'Dmin']",G
"['F', 'Dmin', 'G']",Dmin
"['Dmin', 'G', 'Dmin']",G
"['G', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",F
"['G', 'C', 'F']",Dmin
"['C', 'F', 'Dmin']",G
"['F', 'Dmin', 'G']",Dmin
"['Dmin', 'G', 'Dmin']",G
"['G', 'Dmin', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",Bmin
"['G', 'C', 'Bmin']",Emin
"['C', 'Bmin', 'Emin']",Amin
"['Bmin', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",C
"['Amin', 'D', 'C']",G
"['D', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'C', 'G']",C
"['C', 'G', 'C']",Bmin
"['G', 'C', 'Bmin']",Emin
"['C', 'Bmin', 'Emin']",Amin
"['Bmin', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",G
"['Amin', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",C
"['D', 'G', 'C']",D
"['G', 'C', 'D']",G
"['C', 'D', 'G']",D/F#
"['D', 'G', 'D/F#']",F
"['G', 'D/F#', 'F']",E
"['D/F#', 'F', 'E']",Amin
"['F', 'E', 'Amin']",D
"['E', 'Amin', 'D']",C
"['Amin', 'D', 'C']",G
"['D', 'C', 'G']",C
"['C', 'G', 'C']",G
"['G', 'Bmin', 'Amin']",D
"['Bmin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Bmin
"['D', 'G', 'Bmin']",Amin
"['G', 'Bmin', 'Amin']",D
"['Bmin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Bmin
"['D', 'G', 'Bmin']",Amin
"['G', 'Bmin', 'Amin']",D
"['Bmin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
